sentence_id,sentence,true_label,predicted_label,prob_negative,prob_positive,explained_class,token_position,token_or_segment,token_clean,shap_value,abs_shap_value
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,3,a ,a,0.1527753509581089,0.1527753509581089
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,4,lovely ,lovely,0.3172615831717849,0.3172615831717849
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,5,movie,movie,0.17415695544332266,0.17415695544332266
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,6,.,.,-0.035569025203585625,0.035569025203585625
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,0,,,-4.284083843231201e-08,4.284083843231201e-08
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,1,The ,the,-0.01863984577357769,0.01863984577357769
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,2,cast ,cast,0.1442649383097887,0.1442649383097887
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,3,gave ,gave,0.22075260616838932,0.22075260616838932
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,4,strong ,strong,0.3845769939944148,0.3845769939944148
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,5,performances,performances,0.021274837665259838,0.021274837665259838
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,6,.,.,-0.03874135576188564,0.03874135576188564
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,0,,,-5.587935447692871e-09,5.587935447692871e-09
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,1,I ,i,0.08825149945914745,0.08825149945914745
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,2,liked ,liked,0.33298512920737267,0.33298512920737267
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,3,the ,the,0.05361577495932579,0.05361577495932579
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,4,final ,final,0.20497118681669235,0.20497118681669235
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,5,scene,scene,0.0618634968996048,0.0618634968996048
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,6,.,.,-0.02840971201658249,0.02840971201658249
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,0,,,7.450580596923828e-09,7.450580596923828e-09
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,1,This ,this,0.12003382667899132,0.12003382667899132
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,2,film ,film,-0.13135006837546825,0.13135006837546825
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,3,felt ,felt,0.12390188314020634,0.12390188314020634
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,4,deeply ,deeply,0.44133766647428274,0.44133766647428274
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,5,moving,moving,0.1962145259603858,0.1962145259603858
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,6,.,.,-0.03655016981065273,0.03655016981065273
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,0,,,-7.916241884231567e-08,7.916241884231567e-08
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,1,The ,the,-0.036475892178714275,0.036475892178714275
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,2,soundtrack ,soundtrack,-0.04045531898736954,0.04045531898736954
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,3,was ,was,0.02131844311952591,0.02131844311952591
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,4,very ,very,0.3144780583679676,0.3144780583679676
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,5,pleasant,pleasant,0.4616647697985172,0.4616647697985172
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,6,.,.,-0.0071153417229652405,0.0071153417229652405
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,0,,,-5.075708031654358e-08,5.075708031654358e-08
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,1,The ,the,-0.019911534152925014,0.019911534152925014
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,2,script ,script,-0.19789482955820858,0.19789482955820858
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,3,was ,was,0.09080969612114131,0.09080969612114131
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,4,smart ,smart,0.6246446690056473,0.6246446690056473
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,5,overall,overall,0.24274976761080325,0.24274976761080325
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,6,.,.,-0.026798006612807512,0.026798006612807512
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,0,,,-1.1175870895385742e-08,1.1175870895385742e-08
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,1,I ,i,0.08800890669226646,0.08800890669226646
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,2,found ,found,0.10737377405166626,0.10737377405166626
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,3,it ,it,0.06552869081497192,0.06552869081497192
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,4,quite ,quite,0.16729141306132078,0.16729141306132078
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,5,enjoyable,enjoyable,0.3270545406267047,0.3270545406267047
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,6,.,.,-0.04166332446038723,0.04166332446038723
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,0,,,2.9802322387695312e-08,2.9802322387695312e-08
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,1,The ,the,-0.05595895275473595,0.05595895275473595
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,2,movie ,movie,-0.04357530735433102,0.04357530735433102
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,3,felt ,felt,0.14023946411907673,0.14023946411907673
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,4,fresh ,fresh,0.5135635873302817,0.5135635873302817
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,5,today,today,0.20194635447114706,0.20194635447114706
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,6,.,.,-0.04317682050168514,0.04317682050168514
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,0,,,-1.1175870895385742e-08,1.1175870895385742e-08
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,1,This ,this,0.03702101483941078,0.03702101483941078
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,2,story ,story,0.021394044160842896,0.021394044160842896
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,3,was ,was,0.07972397655248642,0.07972397655248642
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,4,very ,very,0.22280004154890776,0.22280004154890776
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,5,warm,warm,0.3901046169921756,0.3901046169921756
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,6,.,.,-0.03743455372750759,0.03743455372750759
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,0,,,-4.6566128730773926e-08,4.6566128730773926e-08
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,1,The ,the,0.01315603218972683,0.01315603218972683
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,2,pacing ,pacing,-0.05672529409639537,0.05672529409639537
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,3,worked ,worked,0.3570983975660056,0.3570983975660056
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,4,very ,very,0.14084491413086653,0.14084491413086653
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,5,well,well,0.3004483161494136,0.3004483161494136
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,6,.,.,-0.04179642163217068,0.04179642163217068
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,0,,,-2.7939677238464355e-08,2.7939677238464355e-08
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,1,I ,i,0.12633209489285946,0.12633209489285946
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,2,loved ,loved,0.22949976474046707,0.22949976474046707
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,3,this ,this,0.13732291758060455,0.13732291758060455
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,4,movie ,movie,0.17080426588654518,0.17080426588654518
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,5,completely,completely,0.07915221527218819,0.07915221527218819
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,6,.,.,-0.029783256351947784,0.029783256351947784
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,0,,,-5.005858838558197e-08,5.005858838558197e-08
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,1,The ,the,-0.019823714392259717,0.019823714392259717
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,2,dialogue ,dialogue,-0.1860716782975942,0.1860716782975942
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,3,felt ,felt,0.08093168796040118,0.08093168796040118
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,4,sharp ,sharp,0.710127534577623,0.710127534577623
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,5,throughout,throughout,0.15839906712062657,0.15839906712062657
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,6,.,.,-0.030377387534826994,0.030377387534826994
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,0,,,9.313225746154785e-08,9.313225746154785e-08
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,1,The ,the,0.08291949704289436,0.08291949704289436
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,2,movie ,movie,0.08253071457147598,0.08253071457147598
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,3,was ,was,-0.1266801655292511,0.1266801655292511
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,4,very ,very,-0.2963718008249998,0.2963718008249998
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,5,bad,bad,0.5430733170360327,0.5430733170360327
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,6,.,.,-0.0002698078751564026,0.0002698078751564026
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,0,,,2.0489096641540527e-08,2.0489096641540527e-08
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,1,This ,this,-0.07380990497767925,0.07380990497767925
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,2,film ,film,0.17065075412392616,0.17065075412392616
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,3,was ,was,-0.08536995574831963,0.08536995574831963
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,4,really ,really,-0.289806426371797,0.289806426371797
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,5,awful,awful,0.5235496171371778,0.5235496171371778
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,6,.,.,0.0399206280708313,0.0399206280708313
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,0,,,-9.313225746154785e-10,9.313225746154785e-10
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,1,I ,i,-0.0573938162997365,0.0573938162997365
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,2,found ,found,-0.1327756429091096,0.1327756429091096
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,3,the ,the,-0.038411268033087254,0.038411268033087254
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,4,story ,story,-0.19193625426851213,0.19193625426851213
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,5,boring,boring,0.6634397057350725,0.6634397057350725
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,6,.,.,0.04208528995513916,0.04208528995513916
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,0,,,3.725290298461914e-09,3.725290298461914e-09
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,1,The ,the,-0.0034339986741542816,0.0034339986741542816
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,2,acting ,acting,0.0027044545859098434,0.0027044545859098434
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,3,felt ,felt,-0.07498770020902157,0.07498770020902157
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,4,quite ,quite,-0.23141390644013882,0.23141390644013882
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,5,wooden,wooden,0.5406619515269995,0.5406619515269995
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,6,.,.,0.05105789005756378,0.05105789005756378
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,0,,,-1.30385160446167e-08,1.30385160446167e-08
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,1,This ,this,-0.050626834854483604,0.050626834854483604
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,2,movie ,movie,0.023627305403351784,0.023627305403351784
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,3,looked ,looked,-0.08801577053964138,0.08801577053964138
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,4,very ,very,-0.20605067536234856,0.20605067536234856
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,5,cheap,cheap,0.5553260706365108,0.5553260706365108
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,6,.,.,0.050888657569885254,0.050888657569885254
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,0,,,5.587935447692871e-08,5.587935447692871e-08
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,1,The ,the,0.04486816003918648,0.04486816003918648
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,2,ending ,ending,0.12021096423268318,0.12021096423268318
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,3,was ,was,-0.049957577139139175,0.049957577139139175
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,4,truly ,truly,-0.3560336147493217,0.3560336147493217
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,5,annoying,annoying,0.5194041942304466,0.5194041942304466
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,6,.,.,0.0068219006061553955,0.0068219006061553955
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,0,,,2.444721758365631e-08,2.444721758365631e-08
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,1,I ,i,-0.03351806732825935,0.03351806732825935
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,2,disliked ,disliked,0.77485535829328,0.77485535829328
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,3,this ,this,-0.1262034794781357,0.1262034794781357
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,4,film ,film,-0.21837274986319244,0.21837274986319244
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,5,today,today,-0.1459771867375821,0.1459771867375821
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,6,.,.,0.03394486615434289,0.03394486615434289
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,0,,,5.21540641784668e-08,5.21540641784668e-08
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,1,The ,the,0.02279949188232422,0.02279949188232422
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,2,plot ,plot,0.18720505572855473,0.18720505572855473
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,3,felt ,felt,-0.09276816435158253,0.09276816435158253
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,4,weak ,weak,0.26030633226037025,0.26030633226037025
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,5,throughout,throughout,-0.12293872609734535,0.12293872609734535
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,6,.,.,0.02994745969772339,0.02994745969772339
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,negative,7,,,-5.960464477539063e-08,5.960464477539063e-08
29,This was a dreadful movie.,negative,negative,0.9992099,0.0007900892,negative,0,,,2.514570951461792e-08,2.514570951461792e-08
29,This was a dreadful movie.,negative,negative,0.9992099,0.0007900892,negative,1,This ,this,-0.05432931054383516,0.05432931054383516
29,This was a dreadful movie.,negative,negative,0.9992099,0.0007900892,negative,2,was ,was,-0.05060001090168953,0.05060001090168953
29,This was a dreadful movie.,negative,negative,0.9992099,0.0007900892,negative,3,a ,a,-0.15275906957685947,0.15275906957685947
